,Year,Date,Team1,Team2,Result,GameResult
187,1989,1989-05-17,OB,롯데,L 1:2,1
188,1989,1989-05-17,롯데,OB,W 2:1,1
189,1989,1989-05-17,빙그레,삼성,L 1:7,1
190,1989,1989-05-17,삼성,빙그레,W 7:1,1
191,1989,1989-05-17,태평양,MBC,L 2:3,1
192,1989,1989-05-18,MBC,OB,W 9:7,1
193,1989,1989-05-18,OB,MBC,L 7:9,1
194,1989,1989-05-18,롯데,삼성,L 4:5,1
195,1989,1989-05-18,삼성,롯데,W 5:4,1
196,1989,1989-05-18,태평양,해태,L 2:3,1
197,1989,1989-05-18,해태,태평양,W 3:2,1
198,1989,1989-05-19,MBC,OB,D 7:7,1
199,1989,1989-05-19,OB,MBC,D 7:7,1
200,1989,1989-05-19,롯데,삼성,L 0:1,1
201,1989,1989-05-19,삼성,롯데,W 1:0,1
202,1989,1989-05-19,태평양,해태,D 3:3,1
203,1989,1989-05-19,해태,태평양,D 3:3,1
204,1989,1989-05-20,MBC,해태,W 8:5,1
205,1989,1989-05-20,OB,빙그레,W 6:5,1
206,1989,1989-05-20,빙그레,OB,L 5:6,1
207,1989,1989-05-20,삼성,태평양,W 10:3,1
208,1989,1989-05-20,태평양,삼성,L 3:10,1
209,1989,1989-05-20,해태,MBC,L 5:8,1
210,1989,1989-05-21,MBC,해태,W 8:4,1
211,1989,1989-05-21,OB,빙그레,L 4:6,1
212,1989,1989-05-21,빙그레,OB,W 6:4,1
213,1989,1989-05-21,삼성,태평양,L 0:4,1
214,1989,1989-05-21,태평양,삼성,W 4:0,1
215,1989,1989-05-21,해태,MBC,L 4:8,1
216,1989,1989-05-23,OB,삼성,L 0:11,1
217,1989,1989-05-23,롯데,태평양,W 3:0,1
218,1989,1989-05-23,빙그레,해태,L 3:6,1
219,1989,1989-05-23,삼성,OB,W 11:0,1
220,1989,1989-05-23,태평양,롯데,L 0:3,1
221,1989,1989-05-23,해태,빙그레,W 6:3,1
222,1989,1989-05-24,OB,삼성,W 9:2,1
223,1989,1989-05-24,롯데,태평양,L 6:9,1
224,1989,1989-05-24,빙그레,해태,W 4:2,1
225,1989,1989-05-24,삼성,OB,L 2:9,1
226,1989,1989-05-24,태평양,롯데,W 9:6,1
227,1989,1989-05-24,해태,빙그레,L 2:4,1
228,1989,1989-05-25,MBC,롯데,W 8:4,1
229,1989,1989-05-25,롯데,MBC,L 4:8,1
230,1989,1989-05-25,빙그레,태평양,W 6:4,1
231,1989,1989-05-25,태평양,빙그레,L 4:6,1
232,1989,1989-05-26,MBC,롯데,W 7:4,1
233,1989,1989-05-26,롯데,MBC,L 4:7,1
234,1989,1989-05-26,빙그레,태평양,L 1:3,1
235,1989,1989-05-26,삼성,해태,L 0:2,1
236,1989,1989-05-26,태평양,빙그레,W 3:1,1
237,1989,1989-05-26,해태,삼성,W 2:0,1
238,1989,1989-05-27,MBC,빙그레,L 6:7,1
239,1989,1989-05-27,OB,태평양,W 11:3,1
240,1989,1989-05-27,롯데,해태,L 4:5,1
241,1989,1989-05-27,빙그레,MBC,W 7:6,1
242,1989,1989-05-27,태평양,OB,L 3:11,1
243,1989,1989-05-27,해태,롯데,W 5:4,1
244,1989,1989-05-28,MBC,빙그레,L 3:4,1
245,1989,1989-05-28,OB,태평양,W 2:1,1
246,1989,1989-05-28,롯데,해태,L 0:1,1
247,1989,1989-05-28,빙그레,MBC,W 4:3,1
248,1989,1989-05-28,태평양,OB,L 1:2,1
249,1989,1989-05-28,해태,롯데,W 1:0,1
250,1989,1989-05-30,MBC,롯데,L 3:5,1
251,1989,1989-05-30,OB,삼성,W 3:0,1
252,1989,1989-05-30,롯데,MBC,W 5:3,1
253,1989,1989-05-30,삼성,OB,L 0:3,1
254,1989,1989-05-30,태평양,해태,L 1:3,1
255,1989,1989-05-30,해태,태평양,W 3:1,1
256,1989,1989-05-31,MBC,롯데,W 7:1,1
257,1989,1989-05-31,OB,삼성,W 4:1,1
258,1989,1989-05-31,롯데,MBC,L 1:7,1
259,1989,1989-05-31,삼성,OB,L 1:4,1
260,1989,1989-05-31,태평양,해태,D 5:5,1
261,1989,1989-05-31,해태,태평양,D 5:5,1
262,1989,1989-06-01,OB,태평양,L 0:8,1
263,1989,1989-06-01,롯데,삼성,L 3:7,1
264,1989,1989-06-01,빙그레,해태,L 4:5,1
265,1989,1989-06-01,삼성,롯데,W 7:3,1
266,1989,1989-06-01,태평양,OB,W 8:0,1
267,1989,1989-06-01,해태,빙그레,W 5:4,1
268,1989,1989-06-02,OB,태평양,W 3:2,1
269,1989,1989-06-02,롯데,삼성,L 9:13,1
270,1989,1989-06-02,빙그레,해태,W 11:4,1
271,1989,1989-06-02,삼성,롯데,W 13:9,1
272,1989,1989-06-02,태평양,OB,L 2:3,1
273,1989,1989-06-02,해태,빙그레,L 4:11,1
274,1989,1989-06-03,MBC,빙그레,W 6:2,1
275,1989,1989-06-03,OB,삼성,L 1:8,1
276,1989,1989-06-03,롯데,태평양,L 1:2,1
277,1989,1989-06-03,빙그레,MBC,L 2:6,1
278,1989,1989-06-03,삼성,OB,W 8:1,1
279,1989,1989-06-03,태평양,롯데,W 2:1,1
280,1989,1989-06-04,MBC,빙그레,W 4:3,1
281,1989,1989-06-04,OB,삼성,W 4:2,1
282,1989,1989-06-04,롯데,태평양,W 4:3,1
283,1989,1989-06-04,빙그레,MBC,L 3:4,1
284,1989,1989-06-04,삼성,OB,L 2:4,1
285,1989,1989-06-04,태평양,롯데,L 3:4,1
286,1989,1989-06-06,MBC,삼성,L 2:4,1
287,1989,1989-06-06,OB,해태,L 1:2,1
288,1989,1989-06-06,빙그레,태평양,L 2:5,1
289,1989,1989-06-06,삼성,MBC,W 4:2,1
290,1989,1989-06-06,태평양,빙그레,W 5:2,1
291,1989,1989-06-06,해태,OB,W 2:1,1
292,1989,1989-06-07,MBC,삼성,L 1:6,1
293,1989,1989-06-07,OB,해태,L 3:5,1
294,1989,1989-06-07,빙그레,태평양,W 2:0,1
295,1989,1989-06-07,삼성,MBC,W 6:1,1
296,1989,1989-06-07,태평양,빙그레,L 0:2,1
297,1989,1989-06-07,해태,OB,W 5:3,1
298,1989,1989-06-09,OB,롯데,W 10:7,1
299,1989,1989-06-09,롯데,OB,L 7:10,1
300,1989,1989-06-09,빙그레,삼성,L 0:7,1
301,1989,1989-06-09,삼성,빙그레,W 7:0,1
302,1989,1989-06-10,MBC,빙그레,L 1:2,1
303,1989,1989-06-10,롯데,해태,W 4:3,1
304,1989,1989-06-10,빙그레,MBC,W 2:1,1
