,Year,Team1,Game_idx,dummy_draw,dummy_lose,dummy_win,cum_win,cum_draw,cum_lose,Wpct
148,1989,OB,29,0,1,0,10,0,19,0.3448275862068966
149,1989,OB,30,0,1,0,10,0,20,0.3333333333333333
150,1989,OB,31,1,0,0,10,1,20,0.3333333333333333
151,1989,OB,32,0,0,1,11,1,20,0.3548387096774194
152,1989,OB,33,0,1,0,11,1,21,0.34375
153,1989,OB,34,0,1,0,11,1,22,0.3333333333333333
154,1989,OB,35,0,0,1,12,1,22,0.35294117647058826
155,1989,OB,36,0,0,1,13,1,22,0.37142857142857144
156,1989,OB,37,0,0,1,14,1,22,0.3888888888888889
157,1989,OB,38,0,0,1,15,1,22,0.40540540540540543
158,1989,OB,39,0,0,1,16,1,22,0.42105263157894735
159,1989,OB,40,0,1,0,16,1,23,0.41025641025641024
160,1989,OB,41,0,0,1,17,1,23,0.425
161,1989,OB,42,0,1,0,17,1,24,0.4146341463414634
162,1989,OB,43,0,0,1,18,1,24,0.42857142857142855
163,1989,OB,44,0,1,0,18,1,25,0.4186046511627907
164,1989,OB,45,0,1,0,18,1,26,0.4090909090909091
165,1989,OB,46,0,0,1,19,1,26,0.4222222222222222
166,1989,OB,47,0,0,1,20,1,26,0.43478260869565216
167,1989,OB,48,0,0,1,21,1,26,0.44680851063829785
168,1989,OB,49,0,0,1,22,1,26,0.4583333333333333
169,1989,OB,50,0,1,0,22,1,27,0.4489795918367347
170,1989,OB,51,0,1,0,22,1,28,0.44
171,1989,OB,52,0,0,1,23,1,28,0.45098039215686275
172,1989,OB,53,0,0,1,24,1,28,0.46153846153846156
173,1989,OB,54,0,1,0,24,1,29,0.4528301886792453
174,1989,OB,55,0,1,0,24,1,30,0.4444444444444444
175,1989,OB,56,0,1,0,24,1,31,0.43636363636363634
176,1989,OB,57,0,1,0,24,1,32,0.42857142857142855
177,1989,OB,58,0,1,0,24,1,33,0.42105263157894735
178,1989,OB,59,0,0,1,25,1,33,0.43103448275862066
179,1989,OB,60,0,0,1,26,1,33,0.4406779661016949
180,1989,OB,61,0,0,1,27,1,33,0.45
181,1989,OB,62,0,0,1,28,1,33,0.45901639344262296
182,1989,OB,63,0,1,0,28,1,34,0.45161290322580644
183,1989,OB,64,0,1,0,28,1,35,0.4444444444444444
184,1989,OB,65,0,1,0,28,1,36,0.4375
185,1989,OB,66,0,0,1,29,1,36,0.4461538461538462
186,1989,OB,67,0,0,1,30,1,36,0.45454545454545453
187,1989,OB,68,0,0,1,31,1,36,0.4626865671641791
188,1989,OB,69,0,1,0,31,1,37,0.45588235294117646
189,1989,OB,70,0,1,0,31,1,38,0.4492753623188406
190,1989,OB,71,0,0,1,32,1,38,0.45714285714285713
191,1989,OB,72,0,1,0,32,1,39,0.4507042253521127
192,1989,OB,73,0,0,1,33,1,39,0.4583333333333333
193,1989,OB,74,1,0,0,33,2,39,0.4583333333333333
194,1989,OB,75,0,0,1,34,2,39,0.4657534246575342
195,1989,OB,76,0,0,1,35,2,39,0.47297297297297297
196,1989,OB,77,0,1,0,35,2,40,0.4666666666666667
197,1989,OB,78,0,0,1,36,2,40,0.47368421052631576
198,1989,OB,79,0,1,0,36,2,41,0.4675324675324675
199,1989,OB,80,0,0,1,37,2,41,0.47435897435897434
200,1989,OB,81,0,0,1,38,2,41,0.4810126582278481
201,1989,OB,82,0,0,1,39,2,41,0.4875
202,1989,OB,83,0,0,1,40,2,41,0.49382716049382713
203,1989,OB,84,0,1,0,40,2,42,0.4878048780487805
204,1989,OB,85,0,0,1,41,2,42,0.4939759036144578
205,1989,OB,86,0,0,1,42,2,42,0.5
206,1989,OB,87,0,1,0,42,2,43,0.49411764705882355
207,1989,OB,88,0,1,0,42,2,44,0.4883720930232558
208,1989,OB,89,0,1,0,42,2,45,0.4827586206896552
209,1989,OB,90,0,0,1,43,2,45,0.48863636363636365
210,1989,OB,91,0,0,1,44,2,45,0.4943820224719101
211,1989,OB,92,0,0,1,45,2,45,0.5
212,1989,OB,93,0,1,0,45,2,46,0.4945054945054945
213,1989,OB,94,0,1,0,45,2,47,0.4891304347826087
214,1989,OB,95,0,1,0,45,2,48,0.4838709677419355
215,1989,OB,96,0,1,0,45,2,49,0.4787234042553192
216,1989,OB,97,0,1,0,45,2,50,0.47368421052631576
217,1989,OB,98,0,1,0,45,2,51,0.46875
218,1989,OB,99,0,0,1,46,2,51,0.4742268041237113
219,1989,OB,100,0,0,1,47,2,51,0.47959183673469385
220,1989,OB,101,0,1,0,47,2,52,0.47474747474747475
221,1989,OB,102,0,1,0,47,2,53,0.47
222,1989,OB,103,0,1,0,47,2,54,0.46534653465346537
223,1989,OB,104,0,1,0,47,2,55,0.46078431372549017
224,1989,OB,105,0,0,1,48,2,55,0.46601941747572817
225,1989,OB,106,1,0,0,48,3,55,0.46601941747572817
226,1989,OB,107,0,0,1,49,3,55,0.47115384615384615
227,1989,OB,108,0,0,1,50,3,55,0.47619047619047616
228,1989,OB,109,0,0,1,51,3,55,0.4811320754716981
229,1989,OB,110,0,1,0,51,3,56,0.4766355140186916
230,1989,OB,111,0,1,0,51,3,57,0.4722222222222222
231,1989,OB,112,0,1,0,51,3,58,0.46788990825688076
232,1989,OB,113,0,1,0,51,3,59,0.4636363636363636
233,1989,OB,114,0,1,0,51,3,60,0.4594594594594595
234,1989,OB,115,0,1,0,51,3,61,0.45535714285714285
235,1989,OB,116,0,0,1,52,3,61,0.46017699115044247
236,1989,OB,117,0,1,0,52,3,62,0.45614035087719296
237,1989,OB,118,0,1,0,52,3,63,0.45217391304347826
238,1989,OB,119,0,0,1,53,3,63,0.45689655172413796
239,1989,OB,120,0,0,1,54,3,63,0.46153846153846156
240,1989,롯데,1,0,0,1,1,0,0,1.0
241,1989,롯데,2,0,1,0,1,0,1,0.5
242,1989,롯데,3,0,0,1,2,0,1,0.6666666666666666
243,1989,롯데,4,0,1,0,2,0,2,0.5
244,1989,롯데,5,0,1,0,2,0,3,0.4
245,1989,롯데,6,0,0,1,3,0,3,0.5
246,1989,롯데,7,0,1,0,3,0,4,0.42857142857142855
247,1989,롯데,8,0,0,1,4,0,4,0.5
248,1989,롯데,9,0,0,1,5,0,4,0.5555555555555556
249,1989,롯데,10,0,1,0,5,0,5,0.5
250,1989,롯데,11,0,0,1,6,0,5,0.5454545454545454
251,1989,롯데,12,0,0,1,7,0,5,0.5833333333333334
252,1989,롯데,13,0,1,0,7,0,6,0.5384615384615384
253,1989,롯데,14,0,0,1,8,0,6,0.5714285714285714
254,1989,롯데,15,0,1,0,8,0,7,0.5333333333333333
255,1989,롯데,16,0,1,0,8,0,8,0.5
256,1989,롯데,17,0,1,0,8,0,9,0.47058823529411764
257,1989,롯데,18,0,0,1,9,0,9,0.5
258,1989,롯데,19,1,0,0,9,1,9,0.5
259,1989,롯데,20,0,1,0,9,1,10,0.47368421052631576
260,1989,롯데,21,0,1,0,9,1,11,0.45
261,1989,롯데,22,0,1,0,9,1,12,0.42857142857142855
262,1989,롯데,23,0,1,0,9,1,13,0.4090909090909091
263,1989,롯데,24,0,1,0,9,1,14,0.391304347826087
264,1989,롯데,25,0,0,1,10,1,14,0.4166666666666667
265,1989,롯데,26,0,1,0,10,1,15,0.4
266,1989,롯데,27,0,1,0,10,1,16,0.38461538461538464
267,1989,롯데,28,0,0,1,11,1,16,0.4074074074074074
268,1989,롯데,29,0,1,0,11,1,17,0.39285714285714285
269,1989,롯데,30,0,1,0,11,1,18,0.3793103448275862
270,1989,롯데,31,0,0,1,12,1,18,0.4
271,1989,롯데,32,0,1,0,12,1,19,0.3870967741935484
272,1989,롯데,33,0,1,0,12,1,20,0.375
273,1989,롯데,34,0,1,0,12,1,21,0.36363636363636365
274,1989,롯데,35,0,1,0,12,1,22,0.35294117647058826
