rank,game_idx,win_diff,probability
1,17,-6,1.0
1,17,-5,1.0
1,17,-4,0.9
1,17,-3,0.9
1,17,-2,0.8
1,17,-1,0.65
1,17,0,0.6
1,17,1,0.55
1,17,2,0.4
1,17,3,0.2
1,17,4,0.2
1,17,5,0.05
1,17,6,0.0
1,17,7,0.0
1,18,-7,1.0
1,18,-6,1.0
1,18,-5,1.0
1,18,-4,1.0
1,18,-3,1.0
1,18,-2,1.0
1,18,-1,0.7894736842105263
1,18,0,0.631578947368421
1,18,1,0.5263157894736842
1,18,2,0.42105263157894735
1,18,3,0.3157894736842105
1,18,4,0.15789473684210525
1,18,5,0.10526315789473684
1,18,6,0.0
1,18,7,0.0
1,19,-7,1.0
1,19,-6,1.0
1,19,-5,0.95
1,19,-4,0.95
1,19,-3,0.95
1,19,-2,0.95
1,19,-1,0.8
1,19,0,0.6
1,19,1,0.4
1,19,2,0.4
1,19,3,0.3
1,19,4,0.1
1,19,5,0.0
1,19,6,0.0
1,19,7,0.0
1,20,-7,1.0
1,20,-6,1.0
1,20,-5,1.0
1,20,-4,0.9545454545454546
1,20,-3,0.9545454545454546
1,20,-2,0.9545454545454546
1,20,-1,0.9545454545454546
1,20,0,0.6818181818181818
1,20,1,0.45454545454545453
1,20,2,0.2727272727272727
1,20,3,0.18181818181818182
1,20,4,0.13636363636363635
1,20,5,0.09090909090909091
1,20,6,0.045454545454545456
1,20,7,0.0
1,21,-7,1.0
1,21,-6,1.0
1,21,-5,1.0
1,21,-4,1.0
1,21,-3,0.9473684210526315
1,21,-2,0.9473684210526315
1,21,-1,0.9473684210526315
1,21,0,0.6842105263157895
1,21,1,0.47368421052631576
1,21,2,0.2631578947368421
1,21,3,0.21052631578947367
1,21,4,0.15789473684210525
1,21,5,0.10526315789473684
1,21,6,0.0
1,21,7,0.0
1,22,-7,1.0
1,22,-6,1.0
1,22,-5,1.0
1,22,-4,1.0
1,22,-3,1.0
1,22,-2,0.9545454545454546
1,22,-1,0.8181818181818182
1,22,0,0.6818181818181818
1,22,1,0.4090909090909091
1,22,2,0.3181818181818182
1,22,3,0.09090909090909091
